"","city","city_eng","province","year","cityid","abv_prov","resid_price","resid_area","housing_price","CPI","nmzrk","each_salary","houseinvest_re","ind_area"
"1","七台河市","Qitaihe","黑龙江省",2007,2309,0,368.3336,22.9252,1749,187.113616943359,52.75,16530.8,78771,19.2581
"2","七台河市","Qitaihe","黑龙江省",2008,2309,0,218.5116,16.1331,1895,210.502807617188,53.46,21754.1,73159,51.8229
"3","七台河市","Qitaihe","黑龙江省",2009,2309,0,190.9648,27.6713,1986,233.868621826172,55.32,25500.143,537851.826086957,100.2862
"4","七台河市","Qitaihe","黑龙江省",2010,2309,0,760.2578,39.9531,2649.71751412,268.481170654297,57.21,28718.7,49298,76.1532
"5","七台河市","Qitaihe","黑龙江省",2011,2309,0,930.3895,73.3957,3328.89597,313.021148681641,57.1,33398.1,131335,111.7117
"6","七台河市","Qitaihe","黑龙江省",2012,2309,0,272.0497,29.44992,3514.2507474,331.176391601562,57.1,37976.8,537851.826086957,165.0296
"7","三亚市","Sanya","海南省",2007,4602,0,1879.661,48.4497,7006,165.718566894531,53.52,21795.8,504158,73.1710454545454
"8","三亚市","Sanya","海南省",2008,4602,0,4606.906,36.3847,10052,183.781890869141,54.58,26141,739753,21.5137
"9","三亚市","Sanya","海南省",2009,4602,0,1844.928,48.6694,11154,202.343872070312,55.71,28410.4,937199,47.5844
"10","三亚市","Sanya","海南省",2010,4602,0,10665.55,35.1554,17316.76136364,226.220443725586,57.01,33446.7,1200000,42.6744
"11","三亚市","Sanya","海南省",2011,4602,0,2165.924,120.644,12727.31584,276.683654785156,58.1,37023.1,1600000,14.4674
"12","三亚市","Sanya","海南省",2012,4602,0,5402.199,40.24828,11430.73412636,302.415222167969,57.3,39970.7,1800000,32.7859
"13","三明市","Sanming","福建省",2007,3504,0,744.7383,52.01,2390,172.910430908203,28.31,21357.6,276770,165.527
"14","三明市","Sanming","福建省",2008,3504,0,1289.094,139.9231,3316,191.238922119141,28.38,24181.9,361197,323.5016
"15","三明市","Sanming","福建省",2009,3504,0,2328.142,123.6452,3413,212.466461181641,28.36,27379.5,422858,487.8017
"16","三明市","Sanming","福建省",2010,3504,0,3063.94,135.928,4152.70684372,229.676239013672,28.3,30603.1,450910,815.8873
"17","三明市","Sanming","福建省",2011,3504,0,1819.263,405.3133,4781.12564,260.525207519531,28.2,37601.8,699878,1083.462
"18","三明市","Sanming","福建省",2012,3504,0,1394.625,108.5695,5343.10069259,278.761962890625,28.2,42291.3,871193,567.0602
"19","三门峡市","Sanmenxia","河南省",2007,4112,0,414.334,72.8975,1221,184.211807250977,28.78,19874.5,58738,361.8057
"20","三门峡市","Sanmenxia","河南省",2008,4112,0,383.4588,145.3736,1412,210.554092407227,28.99,23794.7,137280,393.6492
"21","三门峡市","Sanmenxia","河南省",2009,4112,0,936.1165,112.3226,2099,238.136672973633,29.2,26695.5,191721,114.1748
"22","三门峡市","Sanmenxia","河南省",2010,4112,0,1120.795,177.9953,2122.5,271.713958740234,29.3,30456.4,363180,604.0166
"23","三门峡市","Sanmenxia","河南省",2011,4112,0,1561.29,112.8564,2443.287037,317.995819091797,29.8,33628.2,389511,357.4572
"24","三门峡市","Sanmenxia","河南省",2012,4112,0,862.1519,88.0996,2897.71176656,351.067352294922,29.9,39391,413164,122.552
"25","上海市","Shanghai","",2007,3100,1,1275.478,1721.783,8252.99995471,209.87956237793,1309.15,49311.1,8400000,2001.303
"26","上海市","Shanghai","",2008,3100,1,2758.296,926.8342,8115,227.089691162109,1321.7,56565,8400000,1616.755
"27","上海市","Shanghai","",2009,3100,1,4795.716,698.0231,12364,238.444183349609,1331.68,63548.9,9200000,1371.504
"28","上海市","Shanghai","",2010,3100,1,6857.884,1072.75,14212.35315059,262.050140380859,1343.37,71875.4,1.2e+07,1310.177
"29","上海市","Shanghai","",2011,3100,1,5455.827,1171.398,13448.3,294.004547119141,1350.6,77031.3,1.4e+07,2047.522
"30","上海市","Shanghai","",2012,3100,1,4726.194,193.3672,13869.88817239,311.644805908203,1358.4,80190.9,1.5e+07,687.3872
"31","上饶市","Shangrao","江西省",2007,3611,0,491.2643,268.7576,1295,190.849014282227,38.45,15838.2,503464,418.8692
